"Title","ID","Created Date","Updated Date","Owner","course_code","description","school","Subject","bullet_points","Concordia_courses (List)","Online Tutor","In-Person Tutor"
"Secondary IV Mathematics","VANIER201-013-50",2024-09-12T04:30:14Z,2024-09-16T02:49:02Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-013-50","This course covers foundational mathematics topics necessary for success in higher-level mathematics courses.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Algebraic Expressions</p></li>
  <li><p class=""font_8"">Polynomial Functions</p></li>
  <li><p class=""font_8"">Factoring Techniques</p></li>
  <li><p class=""font_8"">Rational Expressions</p></li>
  <li><p class=""font_8"">Exponents and Radicals</p></li>
  <li><p class=""font_8"">Linear Equations and Inequalities</p></li>
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Secondary V Mathematics","VANIER201-015-50",2024-09-12T04:30:15Z,2024-09-16T02:43:09Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-015-50","This course prepares students for college-level mathematics by covering advanced high school topics.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Trigonometric Functions</p></li>
  <li><p class=""font_8"">Exponents and Logarithms</p></li>
  <li><p class=""font_8"">Functions and Their Properties</p></li>
  <li><p class=""font_8"">Conic Sections</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">Polynomial Functions</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Calculus I (Commerce)","VANIER201-103-DW",2024-09-12T04:30:15Z,2024-09-16T02:42:47Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-103-DW","This course introduces the foundational concepts of calculus, focusing on applications relevant to commerce and social sciences.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Functions and Graphs</p></li>
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Derivatives and Differentiation</p></li>
  <li><p class=""font_8"">Applications of Derivatives</p></li>
  <li><p class=""font_8"">Optimization</p></li>
  <li><p class=""font_8"">Related Rates</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Zachary Flynn"
"Calculus I (Social Science/Commerce)","VANIER201-103-VA",2024-09-12T04:30:15Z,2024-09-16T02:41:43Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-103-VA","An introduction to differential calculus with applications relevant to social sciences and commerce.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Functions and Graphs</p></li>
  <li><p class=""font_8"">Limits and Continuity</p></li>
  <li><p class=""font_8"">Derivatives and Differentiation</p></li>
  <li><p class=""font_8"">Applications of Derivatives</p></li>
  <li><p class=""font_8"">Optimization Problems</p></li>
  <li><p class=""font_8"">Related Rates</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Erik Hristev","Elias Bakopanos"
"Linear Algebra (Commerce)","VANIER201-105-DW",2024-09-12T04:30:15Z,2024-09-16T02:38:39Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-105-DW","This course covers the fundamental concepts of linear algebra, emphasizing applications in commerce and social sciences.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Matrix Algebra</p></li>
  <li><p class=""font_8"">Determinants</p></li>
  <li><p class=""font_8"">Vector Spaces</p></li>
  <li><p class=""font_8"">Linear Independence</p></li>
  <li><p class=""font_8"">Eigenvalues and Eigenvectors</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","Elias Bakopanos"
"Linear Algebra (Social Science/Commerce)","VANIER201-105-VA",2024-09-12T04:30:15Z,2024-09-16T02:39:11Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-105-VA","This course introduces linear algebra concepts with an emphasis on applications in social sciences and commerce.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Matrix Operations</p></li>
  <li><p class=""font_8"">Determinants</p></li>
  <li><p class=""font_8"">Vector Spaces</p></li>
  <li><p class=""font_8"">Linear Independence</p></li>
  <li><p class=""font_8"">Basis and Dimension</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Calculus II (Social Science/Commerce)","VANIER201-203-VA",2024-09-12T04:30:14Z,2024-09-16T02:44:06Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-203-VA","This course focuses on integral calculus and its applications, tailored for social science and commerce students.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Antiderivatives</p></li>
  <li><p class=""font_8"">Definite Integrals</p></li>
  <li><p class=""font_8"">Techniques of Integration</p></li>
  <li><p class=""font_8"">Applications of Integration</p></li>
  <li><p class=""font_8"">Differential Equations</p></li>
  <li><p class=""font_8"">Sequences and Series</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"Calculus III","VANIER201-HTJ-05",2024-09-12T04:30:15Z,2024-09-16T02:42:39Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-HTJ-05","This advanced calculus course extends concepts from Calculus I and II, focusing on multivariable functions and integration.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Vector Calculus</p></li>
  <li><p class=""font_8"">Partial Derivatives</p></li>
  <li><p class=""font_8"">Multiple Integrals</p></li>
  <li><p class=""font_8"">Line Integrals</p></li>
  <li><p class=""font_8"">Surface Integrals</p></li>
  <li><p class=""font_8"">Divergence and Curl</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Linear Algebra II","VANIER201-HTK-05",2024-09-12T04:30:14Z,2024-09-16T02:47:31Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-HTK-05","This course covers advanced topics in linear algebra, including applications in various fields.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Vector Spaces</p></li>
  <li><p class=""font_8"">Linear Transformations</p></li>
  <li><p class=""font_8"">Eigenvalues and Eigenvectors</p></li>
  <li><p class=""font_8"">Diagonalization</p></li>
  <li><p class=""font_8"">Inner Product Spaces</p></li>
  <li><p class=""font_8"">Orthogonal Projections</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","N/A"
"Differential Equations","VANIER201-HTL-05",2024-09-12T04:30:15Z,2024-09-16T02:42:22Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","201-HTL-05","This course focuses on the methods and applications of ordinary differential equations.","VANIER","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">First-Order Differential Equations</p></li>
  <li><p class=""font_8"">Second-Order Linear Equations</p></li>
  <li><p class=""font_8"">Systems of Differential Equations</p></li>
  <li><p class=""font_8"">Series Solutions</p></li>
  <li><p class=""font_8"">Laplace Transforms</p></li>
  <li><p class=""font_8"">Stability Analysis</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","Angel Udeogu"
"General Chemistry (Social Science)","VANIER202-111-VA",2024-09-12T04:30:14Z,2024-09-16T02:47:47Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","202-111-VA","This course is designed to introduce students to essential principles in chemistry, providing a strong foundation for further studies in science.","VANIER","CHEMISTRY","<ol class=""font_8"">
  <li><p class=""font_8"">Stoichiometry</p></li>
  <li><p class=""font_8"">Chemical Nomenclature</p></li>
  <li><p class=""font_8"">Atomic Structure and the Periodic Table</p></li>
  <li><p class=""font_8"">Chemical Bonding and Molecular Geometry</p></li>
  <li><p class=""font_8"">Thermochemistry</p></li>
  <li><p class=""font_8"">Gas Laws and Kinetic Theory of Gases</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Tynan Peterson","N/A"
" Mechanics (Social Science)","VANIER203-SN1-RE",2024-09-12T04:30:15Z,2024-09-16T02:37:25Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","203-SN1-RE","This course is designed to help students develop a strong understanding of mechanical principles through problem-solving and experimentation.","VANIER","PHYSICS","<ol class=""font_8"">
  <li><p class=""font_8"">Kinematics and Dynamics of Particles</p></li>
  <li><p class=""font_8"">Newton's Laws of Motion</p></li>
  <li><p class=""font_8"">Work, Energy, and Power</p></li>
  <li><p class=""font_8"">Conservation of Momentum and Energy</p></li>
  <li><p class=""font_8"">Rotational Motion and Dynamics</p></li>
  <li><p class=""font_8"">Gravitation</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Erik Hristev","Zachary Flynn"
"Programming in Java","VANIER420-980-VA",2024-09-12T04:30:14Z,2024-09-16T02:47:21Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-980-VA","This course introduces the fundamentals of programming using Java, covering basic to intermediate programming concepts.","VANIER","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Basic Java Syntax and Structure</p></li>
  <li><p class=""font_8"">Data Types and Variables</p></li>
  <li><p class=""font_8"">Control Structures (if-else, switch)</p></li>
  <li><p class=""font_8"">Loops (for, while, do-while)</p></li>
  <li><p class=""font_8"">Methods and Functions</p></li>
  <li><p class=""font_8"">Arrays and Collections</p></li>
  <li><p class=""font_8"">Object-Oriented Programming (OOP) Principles</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Advanced Programming in Java","VANIER420-984-VA",2024-09-12T04:30:14Z,2024-09-16T02:44:40Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-984-VA","This advanced course builds on the concepts learned in the introductory Java course, focusing on more complex programming techniques and software development practices.","VANIER","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">Advanced OOP Concepts</p></li>
  <li><p class=""font_8"">Interfaces and Abstract Classes</p></li>
  <li><p class=""font_8"">Advanced Data Structures (Linked Lists, Stacks, Queues)</p></li>
  <li><p class=""font_8"">Recursion</p></li>
  <li><p class=""font_8"">Generics and Collections Framework</p></li>
  <li><p class=""font_8"">GUI Development with JavaFX</p></li>
  <li><p class=""font_8"">Multithreading and Concurrency</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Web Programming","VANIER420-999-VA",2024-09-12T04:30:15Z,2024-09-16T02:37:46Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","420-999-VA","This course covers the essential technologies and frameworks used in web development, focusing on both client-side and server-side programming.","VANIER","PROGRAMMING","<ol class=""font_8"">
  <li><p class=""font_8"">HTML, CSS, and JavaScript Basics</p></li>
  <li><p class=""font_8"">Responsive Web Design</p></li>
  <li><p class=""font_8"">Client-Side Scripting with JavaScript</p></li>
  <li><p class=""font_8"">DOM Manipulation</p></li>
  <li><p class=""font_8"">AJAX and JSON</p></li>
  <li><p class=""font_8"">Server-Side Programming with Java (Servlets and JSP)</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Introductory Biology I","biol201",2024-09-12T04:30:15Z,2024-09-16T02:38:08Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","BIOL 201","This course provides a foundational overview of biology and the study of life, essential for students pursuing degrees in life sciences.","CONCORDIA","BIOLOGY","<ul class=""font_8"">
  <li><p class=""font_8"">Prokaryotic Cells</p></li>
  <li><p class=""font_8"">Cellular Respiration</p></li>
  <li><p class=""font_8"">Cell Division</p></li>
  <li><p class=""font_8"">Genetics</p></li>
  <li><p class=""font_8"">DNA</p></li>
  <li><p class=""font_8"">Evolution</p></li>
  <li><p class=""font_8"">Life and Bacteria</p></li>
  <li><p class=""font_8"">Protists and Plants</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Maria Moshopoulos"
"General Biology","biol202",2024-09-12T04:30:15Z,2024-09-16T02:40:21Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","BIOL 202","This course deepens understanding of biology and evolutionary principles, building on the foundations laid in Introductory Biology I.","CONCORDIA","BIOLOGY","<ul class=""font_8"">
  <li><p class=""font_8"">Overview of Biology</p></li>
  <li><p class=""font_8"">Scientific Thinking</p></li>
  <li><p class=""font_8"">Chemistry</p></li>
  <li><p class=""font_8"">Cells</p></li>
  <li><p class=""font_8"">Energy</p></li>
  <li><p class=""font_8"">DNA &amp; Gene Expression</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Maria Moshopoulos"
"General Chemistry I","chem205",2024-09-12T04:30:14Z,2024-09-16T02:46:42Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","CHEM 205","This course introduces fundamental concepts in chemistry and the scientific method, serving as a foundational course for further studies in chemistry.","CONCORDIA","CHEMISTRY","<ul class=""font_8"">
  <li><p class=""font_8"">Basic Concepts of Chemistry</p></li>
  <li><p class=""font_8"">Atoms, Molecules &amp; Ions</p></li>
  <li><p class=""font_8"">Stoichiometry: Quantitative Information about Chemical Reactions</p></li>
  <li><p class=""font_8"">Chemical Reactions</p></li>
  <li><p class=""font_8"">Bonding &amp; Molecular Structure</p></li>
  <li><p class=""font_8"">The Structure of Atoms</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Tynan Peterson","Ossama Elbannaoui"
"General Chemistry II","chem206",2024-09-12T04:30:14Z,2024-09-16T02:48:05Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","CHEM 206","This course offers an advanced exploration of chemistry, building on the foundations of General Chemistry I, with a focus on more complex concepts and applications.","CONCORDIA","CHEMISTRY","<ul class=""font_8"">
  <li><p class=""font_8"">Thermodynamics</p></li>
  <li><p class=""font_8"">Liquids &amp; Solutions</p></li>
  <li><p class=""font_8"">Kinetics</p></li>
  <li><p class=""font_8"">Equilibrium</p></li>
  <li><p class=""font_8"">Acids &amp; Bases</p></li>
  <li><p class=""font_8"">Solubility Equilibria</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Tynan Peterson","Ossama Elbannaoui"
"Programming Methodology I","coen243",2024-09-12T04:30:15Z,2024-09-16T02:42:54Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COEN 243","This course covers the basics of programming methodology, emphasizing structured programming and problem-solving.","CONCORDIA","ENGINEERING","<ul class=""font_8"">
  <li><p class=""font_8"">Introduction to Programming</p></li>
  <li><p class=""font_8"">Data Types and Variables</p></li>
  <li><p class=""font_8"">Control Structures</p></li>
  <li><p class=""font_8"">Functions and Recursion</p></li>
  <li><p class=""font_8"">Arrays and Strings</p></li>
  <li><p class=""font_8"">Pointers and Dynamic Memory</p></li>
  <li><p class=""font_8"">Introduction to Object-Oriented Programming</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Ossama Elbannaoui"
"Programming Methodology II","coen244",2024-09-12T04:30:14Z,2024-09-16T02:43:42Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COEN 244","This course continues from Programming Methodology I, delving deeper into programming with an emphasis on object-oriented design.","CONCORDIA","ENGINEERING","<ul class=""font_8"">
  <li><p class=""font_8"">Advanced Object-Oriented Programming</p></li>
  <li><p class=""font_8"">Inheritance and Polymorphism</p></li>
  <li><p class=""font_8"">Exception Handling</p></li>
  <li><p class=""font_8"">File and Stream I/O</p></li>
  <li><p class=""font_8"">Templates and Standard Template Library (STL)</p></li>
  <li><p class=""font_8"">Graphical User Interfaces (GUIs)</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Ossama Elbannaoui"
"Computer Organization and Software","coen311",2024-09-12T04:30:14Z,2024-09-16T02:47:41Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COEN 311","This course explores the architecture and organization of computer systems, along with relevant software considerations.","CONCORDIA","ENGINEERING","<ul class=""font_8"">
  <li><p class=""font_8"">Computer System Overview</p></li>
  <li><p class=""font_8"">Data Representation</p></li>
  <li><p class=""font_8"">Assembly Language Programming</p></li>
  <li><p class=""font_8"">CPU Architecture</p></li>
  <li><p class=""font_8"">Memory Hierarchy</p></li>
  <li><p class=""font_8"">I/O Systems</p></li>
  <li><p class=""font_8"">Basic Operating System Concepts</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Ossama Elbannaoui"
"Object-Oriented Programming I","comp248",2024-09-12T04:30:15Z,2024-09-16T02:39:26Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COMP 248","This course introduces the fundamentals of object-oriented programming, providing a solid foundation for further studies in software development.","CONCORDIA","PROGRAMMING","<ul class=""font_8"">
  <li><p class=""font_8"">Basics of Programming</p></li>
  <li><p class=""font_8"">Classes and Objects</p></li>
  <li><p class=""font_8"">Methods</p></li>
  <li><p class=""font_8"">Arrays</p></li>
  <li><p class=""font_8"">Inheritance</p></li>
  <li><p class=""font_8"">Exception Handling</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Eric Hanna","Dina Shoham"
"Object-Oriented Programming II","comp249",2024-09-12T04:30:14Z,2024-09-16T02:45:46Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","COMP 249","This course builds on Object-Oriented Programming I, advancing students' understanding of object-oriented concepts and techniques.","CONCORDIA","PROGRAMMING","<ul class=""font_8"">
  <li><p class=""font_8"">Advanced Object-Oriented Concepts</p></li>
  <li><p class=""font_8"">Interfaces and Abstract Classes</p></li>
  <li><p class=""font_8"">Exception Handling in Depth</p></li>
  <li><p class=""font_8"">File I/O</p></li>
  <li><p class=""font_8"">Graphical User Interfaces (GUIs)</p></li>
  <li><p class=""font_8"">Event-Driven Programming</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Dina Shoham"
"Applied Ordinary Differential Equations","engr213",2024-09-12T04:30:15Z,2024-09-16T02:40:33Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","ENGR 213","This course focuses on the methods and applications of ordinary differential equations in engineering.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">First-order Differential Equations</p></li>
  <li><p class=""font_8"">Higher-order Linear Differential Equations</p></li>
  <li><p class=""font_8"">Laplace Transforms</p></li>
  <li><p class=""font_8"">Systems of Differential Equations</p></li>
  <li><p class=""font_8"">Numerical Methods</p></li>
  <li><p class=""font_8"">Applications in Engineering Problems</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Francesco Pedulla","N/A"
"Applied Advanced Calculus","engr233",2024-09-12T04:30:15Z,2024-09-16T02:37:54Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","ENGR 233","This course is designed to provide students with a deep understanding of advanced calculus techniques, with practical applications in engineering fields.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">Partial derivatives</p></li>
  <li><p class=""font_8"">Multiple integrals</p></li>
  <li><p class=""font_8"">Line and surface integrals</p></li>
  <li><p class=""font_8"">Vector fields and vector calculus (e.g., divergence and curl)</p></li>
  <li><p class=""font_8"">Green's Theorem, Stokes' Theorem, and the Divergence Theorem</p></li>
  <li><p class=""font_8"">Applications of these concepts to engineering problems</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Statics","engr242",2024-09-12T04:30:15Z,2024-09-16T02:39:33Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","ENGR 242","This course covers the fundamentals of statics, a branch of mechanics that deals with the analysis of forces and moments.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">Equilibrium of Rigid Bodies</p></li>
  <li><p class=""font_8"">Free-Body Diagrams</p></li>
  <li><p class=""font_8"">Force Systems (Concurrent, Parallel, and Distributed)</p></li>
  <li><p class=""font_8"">Centroids and Centers of Mass</p></li>
  <li><p class=""font_8"">Analysis of Structures (Trusses, Frames, and Machines)</p></li>
  <li><p class=""font_8"">Friction</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","N/A","Angel Udeogu"
"Engineering Mechanics","engr243",2024-09-12T04:30:15Z,2024-09-16T02:38:21Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","ENGR 243","This course covers the fundamental principles of engineering mechanics, essential for analyzing forces, moments, and motion in engineering systems.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">Statics</p></li>
  <li><p class=""font_8"">Dynamics</p></li>
  <li><p class=""font_8"">Forces and Moments</p></li>
  <li><p class=""font_8"">Equilibrium</p></li>
  <li><p class=""font_8"">Structural Analysis</p></li>
  <li><p class=""font_8"">Friction</p></li>
  <li><p class=""font_8"">And more!</p></li>
</ol>","/concordia-courses/","N/A","Angel Udeogu"
"Probability & Statics","engr371",2024-09-12T04:30:14Z,2024-09-16T02:48:56Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","ENGR 371","This course equips engineering students with statistical tools essential for analyzing real-world engineering problems.","CONCORDIA","ENGINEERING","<ol class=""font_8"">
  <li><p class=""font_8"">Introduction to Probability</p></li>
  <li><p class=""font_8"">Discrete Random Variables</p></li>
  <li><p class=""font_8"">Continuous Random Variables</p></li>
  <li><p class=""font_8"">Probability Distributions (Normal, Binomial, Poisson, etc.)</p></li>
  <li><p class=""font_8"">Descriptive Statistics</p></li>
  <li><p class=""font_8"">Estimation and Confidence Intervals</p></li>
  <li><p class=""font_8"">Hypothesis Testing</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","Elias Bakopanos"
"Multivariable Calculus I","mast218",2024-09-12T04:30:15Z,2024-09-16T02:40:27Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MAST 218","This course introduces multivariable calculus concepts, essential for students in engineering and physical sciences.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Parametric Equations</p></li>
  <li><p class=""font_8"">Polar Coordinates</p></li>
  <li><p class=""font_8"">Vector Functions</p></li>
  <li><p class=""font_8"">Partial Derivatives</p></li>
  <li><p class=""font_8"">Multiple Integrals</p></li>
  <li><p class=""font_8"">Vector Calculus</p></li>
  <li><p class=""font_8"">Gradient, Divergence, and Curl</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","N/A","Angel Udeogu"
"Multivariable Calculus II","mast219",2024-09-12T04:30:15Z,2024-09-16T02:42:32Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MAST 219","This course expands on multivariable calculus and its applications, covering advanced topics in the field.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Double Integrals</p></li>
  <li><p class=""font_8"">Surface Area Calculations</p></li>
  <li><p class=""font_8"">Triple Integrals</p></li>
  <li><p class=""font_8"">Cylindrical and Spherical Coordinates</p></li>
  <li><p class=""font_8"">Change of Variables in Multiple Integrals</p></li>
  <li><p class=""font_8"">Vector Fields and Line Integrals</p></li>
  <li><p class=""font_8"">Theorems for Vector Analysis</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Ryan Hui","Angel Udeogu"
"Linear Algebra and Geometry","math133",2024-09-12T04:30:14Z,2024-09-16T02:45:52Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 133","MATH 133 covers fundamental concepts in linear algebra and their geometric applications.","MCGILL","MATH","<ol class=""font_8"">
  <li><p class=""font_8"">Systems of Linear Equations</p></li>
  <li><p class=""font_8"">Gaussian Elimination</p></li>
  <li><p class=""font_8"">Matrices and Matrix Operations</p></li>
  <li><p class=""font_8"">Determinants and Properties</p></li>
  <li><p class=""font_8"">Vector Spaces and Subspaces</p></li>
  <li><p class=""font_8"">Basis and Dimension</p></li>
  <li><p class=""font_8"">And more</p></li>
</ol>","/concordia-courses/","Ryan Hui","N/A"
"Fundamental Concepts of Algebra","math200",2024-09-12T04:30:14Z,2024-09-16T02:44:13Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 200","This course introduces essential algebraic concepts, serving as a prerequisite for higher-level mathematics courses.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Arithmetic Operations with Algebraic Expressions</p></li>
  <li><p class=""font_8"">Simplifying Algebraic Expressions</p></li>
  <li><p class=""font_8"">Factoring Algebraic Expressions</p></li>
  <li><p class=""font_8"">Solving Linear and Quadratic Equations</p></li>
  <li><p class=""font_8"">Solving Linear Inequalities</p></li>
  <li><p class=""font_8"">Graphing Linear Equations in Two Variables</p></li>
  <li><p class=""font_8"">Solving Systems of Linear Equations in Two Variables</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","N/A"
"Elementary Functions","math201",2024-09-12T04:30:14Z,2024-09-16T02:44:31Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 201","This course builds a foundation in pre-calculus functions, preparing students for calculus and other advanced mathematics.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Analytic Geometry</p></li>
  <li><p class=""font_8"">Introduction to Functions</p></li>
  <li><p class=""font_8"">Combining Functions</p></li>
  <li><p class=""font_8"">Quadratic and Rational Functions</p></li>
  <li><p class=""font_8"">Exponential Functions and Logarithms (Part I &amp; II)</p></li>
  <li><p class=""font_8"">Measuring Angles</p></li>
  <li><p class=""font_8"">Introduction to Trigonometry</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","Elias Bakopanos"
"College Algebra","math202",2024-09-12T04:30:14Z,2024-09-16T02:48:35Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 202","This course provides advanced algebraic concepts, focusing on polynomials, rational expressions, and complex numbers.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Quadratic Equations&nbsp;</p></li>
  <li><p class=""font_8"">Trig Form, de Moivre's Theorem</p></li>
  <li><p class=""font_8"">Complex Zeros of Polynomials</p></li>
  <li><p class=""font_8"">Mathematical Induction</p></li>
  <li><p class=""font_8"">Arithmetic Sequences and Series</p></li>
  <li><p class=""font_8"">Summation Convention</p></li>
  <li><p class=""font_8"">Geometric Sequences and Series</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Francesco Pedulla","N/A"
"Differential & Integral Calculus I","math203",2024-09-12T04:30:15Z,2024-09-16T02:41:21Z,"2ab4c9e9-ea98-4251-aff0-18f7cf5fc2f3","MATH 203","This course lays the groundwork in differential and integral calculus, essential for students in science, engineering, and economics programs.","CONCORDIA","MATH","<ul class=""font_8"">
  <li><p class=""font_8"">Representations of Functions</p></li>
  <li><p class=""font_8"">Combining Functions; Shifting &amp; Scaling Graphs</p></li>
  <li><p class=""font_8"">Trigonometric Functions</p></li>
  <li><p class=""font_8"">Exponential Functions</p></li>
  <li><p class=""font_8"">Inverse Functions and Logarithms</p></li>
  <li><p class=""font_8"">Rates of Change and Tangent Lines</p></li>
  <li><p class=""font_8"">Limit of a Function and Limit Laws</p></li>
  <li><p class=""font_8"">And more</p></li>
</ul>","/concordia-courses/","Ryan Hui","Angel Udeogu"
